,
MARY/TXT,001 
MARILYN/TXT,001 
JUDY/TXT,001 
FILEINFO/ASC,001 
TANYA/TXT,001 
JUDY2/TXT,001 
PLAYBY4/TXT,001 
NORA/TXT,001 
CATHY/TXT,001 
MAUREEN/TXT,001 
LESLIE/TXT,001 
DONNA/TXT,001 =2  8/26/86  NUDES-#1
NUDE6/TXT,002 
NUDECAL/TXT,002 
NUDE8/TXT,002 
NUDE10/TXT,002 
NUDE11/TXT,002 
NUDE2/TXT,002 
NUDE5/TXT,002 
NUDE3/TXT,002 
FILEINFO/ASC,002 =4  8/26/86  NUDES-#2
MISOCT1/TXT,003 
MISSFEB/TXT,003 
FILEINFO/ASC,003 
MISOCT3/TXT,003 
MISSJULY/TXT,003 =29  8/26/86  NUDES-#3
FILEINFO/ASC,004 
MISJUNE/TXT,004 
NUDE12/TXT,004 
NUDE7/TXT,004 
MISMAY/TXT,004 
MISMRCH/TXT,004 
JOHN/TXT,004 
MAUGUST/TXT,004 
MISSJAN/TXT,004 
MISJANU/TXT,004 =4  8/26/86  NUDES-#4
CINDY/TXT,005 
PLAYBY1/TXT,005 
MISOCT2/PIC,005 
PLAYBY3/TXT,005 
DRU/TXT,005 
PLAYBY2/TXT,005 =0  8/26/86  NUDE-#5 
FILEINFO/ASC,006 
BUNNIES/TXT,006 
GRANNY/TXT,006 
DAVID/TXT,006 
MHTNUDE/TXT,006 
MANDW/TXT,006 =38  8/26/86  NUDES   
PUMPKIN/TXT,007 
WISEMEN/TXT,007 
HMARY/TXT,007 
EASTER/TXT,007 
SANTA2/TXT,007 
SANTA1/TXT,007 
FILEINFO/ASC,007 =2  8/26/86  CHRSTN-1
SANTA5/TXT,008 
SANTA4/TXT,008 
SANTA3/TXT,008 
LASTSUPR/TXT,008 =28  8/26/86  CHRSTN-2
LINUS2/TXT,009 
SNOOP35/TXT,009 
SNOOP36/TXT,009 
SCHROE/TXT,009 
LINUS3/TXT,009 
SNOOP37/TXT,009 
LINUS9/TXT,009 
HUGPUPPY/TXT,009 
SNOOP/TXT,009 
LUCY4/TXT,009 
LUCY2/TXT,009 
SNOOPYH/TXT,009 
SNOOPY1/TXT,009 
CHUCK/TXT,009 
SNOOPY9/TXT,009 
SNOOPY2/TXT,009 
SNOOPY4/TXT,009 
SNOOP34/TXT,009 
SNOOPY3/TXT,009 
SNOOPY5/TXT,009 
SNOOPY/TXT,009 
SNOOPY8/TXT,009 =1  8/26/86  PEANUTS1
SALLY/TXT,010 =20  8/26/86  PEANUTS2
WDSTOCK1/TXT,010 
WDSTOCK2/TXT,010 
WDSTOCK3/TXT,010 
LINUS/TXT,010 
SNOOPY5/TXT,010 
SNOOPY6/TXT,010 
CHUCKY/TXT,010 
LUCY3/TXT,010 
CBROWN5/TXT,010 
WOODSTOC/TXT,010 
CBROWN1/TXT,010 
CBROWN2/TXT,010 
LUCY1/TXT,010 
CBROWN4/TXT,010 
CBROWN3/TXT,010 
ŒŒŒŒŒŒ,ŒŒŒŒ
