,
LUNAR/CMD,001 
PUZZLE15/CMD,001 
SUPERU/CMD,001 
TSEVADER/CMD,001 
PINBALL/CMD,001 
STARNIM/CMD,001 
ORCOSMIC/CMD,001 
GALGUARD/CMD,001 
SPOOKS/CMD,001 
RSINVADE/CMD,001 
FRENZY/CMD,001 
FS1/CMD,001 
INVADERS/CMD,001 
ELIZA/CMD,001 =0  11/23/86  NEWDOS80
STARS/CMD,002 
BASKET/CMD,002 
CARACE/CMD,002 
BREAKO/CMD,002 
MARQUEE/CMD,002 
HANOI/CMD,002 
SWAR/CMD,002 
DIS/CMD,002 
ARMORED/CMD,002 
ELIMINAT/CMD,002 
ROTSCREW/CMD,002 
TINGTONG/CMD,002 
SFIGHTER/CMD,002 
INVASION/CMD,002 
PSYCHO/CMD,002 
RSM48/CMD,002 
SNOOPY2/CMD,002 
SNOOPY3/CMD,002 
TENPIN/CMD,002 
ACRNVADE/CMD,002 =1  11/23/86  NEWDOS80
DRUNKMTR,003 
JDAY,003 
DOTGAME,003 
OUTPOST,003 
NESHABUR,003 
SINBOARD,003 
TROLGOLD,003 
JUDGMENT,003 
MATCHER,003 
PILGRIMA,003 
TRUMP,003 
SAM,003 
CHALLENG,003 
UTILITY,003 
GAUNTLET,003 
STELRCHT/JCL,003 
RACES,003 
EQUAL1,003 
ORION/DSK,003 
LINEUP,003 
INVORION/DSK,003 
STELLAR,003 
COMBAT,003 
TRSZAPD/BAS,003 
SCRAMBLE,003 
JUGGERNA,003 
DAMOCLES,003 
WARGOD,003 
NIGHTFL,003 
BUILDER/DSK,003 =0  11/23/86  NEWDOS80
SONAR2/BAS,004 
SUPERDIR/IRA,004 
SUPERDIR/DAT,004 
CNA/TXT,004 
ROAD/TXT,004 
NEGIAH/TXT,004 
HANGMAN,004 
SONAR/SRC,004 
UPC/CMD,004 
SUPERDIR,004 
ANDROID/NIM,004 
UPC/SRC,004 
STARTREK/BAS,004 
WORDO,004 
DIREXPND/BAS,004 
ZAPSCRIP/JCL,004 
SONAR/BAS,004 
VOLCANO/CMD,004 
FINAL/SRC,004 
AITIC,004 
SUPERDIR/CMD,004 =0  3/13/87  NEWDOS80
AMBLJACK,005 
SPKDEMO/BAS,005 
AMBLJINS,005 
CODIR/CMD,005 
COVER/I39,005 
MOVEBAR/CMD,005 
DISKLEEN/BAS,005 
FORCE/BAS,005 
INTRO,005 
MOVBAR2/BAS,005 
WEEK/DAT,005 
RESPNCE/DAT,005 
PRIVGAME,005 
JOUST/BAS,005 
CONVERSN/DAT,005 
FRAME/BAS,005 
SAVO/BAS,005 
FLIPIT2/BAS,005 
DIR/BAS,005 
MOVBAR/BAS,005 
M1RS232/DVR,005 
CODIR/BAS,005 
SCARFMAN/CMD,005 
GRAFMIX/BAS,005 
ADV39/BAS,005 =2  11/23/86  NEWDOS80
PACMAN/CMD,006 
RSM2/CMD,006 
VC/CMD,006 
SNOOPY/CMD,006 
KING/CMD,006 
STARS/CMD,006 
DEFCMD/CMD,006 
FIREBIRD/CMD,006 
CATER/CMD,006 
CASTLE/CMD,006 
CUBE/CMD,006 
VENTURE/CMD,006 
ASTEROID/CMD,006 =1  11/23/86  NEWDOS80
INVADE/CMD,007 
RACE/CMD,007 
DEFENDER/CMD,007 
PINBALL/CMD,007 
MOVIE/CMD,007 
TRSMAN/CMD,007 
CODIR/CMD,007 
BLAZER/CMD,007 
OUTHOUSE/CMD,007 
MISSILE/CMD,007 
PROTECT/CMD,007 
COMMBAT/CMD,007 
DISKCAT/CMD,007 
COPYCAT2/CMD,007 
BARRICAD/CMD,007 =1  11/23/86  NEWDOS80
FULSCRN2/SSG,008 
DOCUMENT/ODE,008 
MESSAGE/DAT,008 
VCRXFER,008 
CHAIN1,008 
ROCK,008 
MOVE321/BAS,008 
MOVE321/ODE,008 
MSBASCOM/JCL,008 
MOVE123/BAS,008 
CODIR/CMD,008 
MODUL1/BAS,008 
VCR/TXT,008 
MDMPORTS,008 
MODUL2/BAS,008 
MODUL3/BAS,008 
MOVE123/ODE,008 
GPRIX,008 
MNUMB/DAT,008 
DOCUMENT/BAS,008 
HEADING/DAT,008 
UPLOADH/PCL,008 
NYBBLE/CMD,008 
DRAWART,008 
PORTLIST,008 
LOGON/PCL,008 
FULSCRN1/SSG,008 
USERLOG/DAT,008 
ANDROID,008 =2  11/23/86  NEWDOS80
DSPOOL32/CMD,009 
DSPOOL48/CMD,009 
PINBALL2/CMD,009 
TIMEMGR/CMD,009 
UBOAT/CMD,009 
SYSDUMP/CMD,009 
MAXDEM/CMD,009 
CLOSE48/CMD,009 
PACKER48/CMD,009 
BRIDGEIT/CMD,009 
MOONCRST/CMD,009 
PACKER/CMD,009 
COMPARE/CMD,009 
CLOSE32/CMD,009 
WHEEL/CMD,009 
THRESHOL/CMD,009 
KEY/CMD,009 
PFILE/CMD,009 
SPOOL48/CMD,009 
SLOT/CMD,009 
SPOOLER/TXT,009 
SPOOL32/CMD,009 
SMASHER/CMD,009 
BEETLE/CMD,009 =1  11/23/86  NEWDOS80
KINGDOM/BAS,010 
MONSTER/BAS,010 
EQUAL2,010 
SBAS,010 
DOODLER,010 
SIGN1,010 
QUEST,010 
INVADERS,010 
YATZEE80,010 
FIGHTER/BAS,010 
SIGN1/DOC,010 
STARBSE0,010 
DND/BAS,010 
DARTPI,010 =1  11/23/86  NEWDOS80
MAZE,011 
ORION,011 
BRIDGE,011 
BREAK,011 
ENGINEER,011 
GRTEST,011 
ROBESCPE,011 
MOVEMAZE,011 
MICRONOP,011 
POCKPOOL,011 
KNIGHT,011 
STRDICE,011 
SHUTTLE,011 
TAIPAN,011 
TUNNEL,011 
AMAZING,011 
BUILDER,011 =0  11/23/86  NEWDOS80
STOCKCAR,012 
PASLOAD,012 
BREAKOUT,012 
KENO,012 
BASES,012 
WHEELOF,012 
PASMENU,012 
PHONEY/SPK,012 
NIFTIES/BAS,012 
PAS2PCL,012 
FIBONACC,012 
FILECKR,012 
EDUQUIZ,012 
SOUND,012 
GOLF,012 
GALACTIC,012 
PASAVE,012 
PETALS,012 
NEWYORK,012 
EMPIRE,012 
SIEVE,012 
ROTSCREW,012 
BIBRITE,012 
ETCH,012 
HEXDEC,012 
WORDPHN,012 
ASTADV,012 
SUNRISE,012 
LOTTERY,012 
WHEREAMI,012 =1  9/5/86  BASIC   
EXAM,013 
COVER979,013 
SPY,013 
CONSTLN,013 
STORY,013 
ALIEN/BAS,013 
HEXPAWN,013 
END,013 
DRAGRACE,013 
AMORTZTN,013 
SEXYJUDY,013 
DEDUCT,013 
LADY,013 
RUBIK/BAS,013 
DEAL,013 
TRIVET,013 
MNSCRDMP,013 
LANDLORD,013 
NAME,013 
SPEEDREA,013 
BIRTHCOI,013 
AIR,013 
PICTUR3D/BAS,013 =1  9/5/86  NEWDOS80
LEVEL7,014 
SPEEDWAY,014 
LEVEL6,014 
GSF/INS,014 
DM,014 
MASTERS,014 
BINTREE,014 
INN,014 
LEVEL8,014 
OILBARON,014 
ENDZONE/BAS,014 
HELLFIRE/JCL,014 
NAVIGATE,014 
SPACETST,014 
DEMON,014 
GOLFTEE/BAS,014 
CAMEL/BAS,014 
PILOT,014 
LEVEL5,014 
TIGER,014 
TRIANGLE,014 
BANDITO,014 
ROLLDICE/BAS,014 =0  9/5/86  NEWDOS80
SYNONYM8/BAS,015 
NUMBER5/BAS,015 
ANTONYM6,015 
SYNONYM3/BAS,015 
SYNONYM4/BAS,015 
ANTONYM5,015 
NUMBER4/BAS,015 
NUMBER3/BAS,015 
SYNONYM5/BAS,015 
ANTONYM3,015 
IQ5/BAS,015 
ANTONYMS/BAS,015 
IQ1/BAS,015 
ANTONYM6/BAS,015 
SYNONYMB,015 
IQ4/BAS,015 
NUMBER1/BAS,015 
SYNONYM2,015 
ANTONYM2,015 
IQ3/BAS,015 
SYNONYM6/BAS,015 
NUMBER7/BAS,015 
NUMBER8/BAS,015 
NUMBER2/BAS,015 
ANTONYM4,015 
ANTONYMB,015 
NUMBER6/BAS,015 
IQ2/BAS,015 
SYNONYM7/BAS,015 
SYNONYMA/BAS,015 
IQ6/BAS,015 
ANTONYM2/BAS,015 
ANTONYM5/BAS,015 
ANTONYM4/BAS,015 
SYNONYM2/BAS,015 
ANTONYM3/BAS,015 =1  12/14/86  NEWDOS80
TREASURE,016 
GINGER,016 
SPACFIRE/BAS,016 
STORY3,016 
SCORES,016 
TMPMON,016 
MONSTER,016 
MONFILE,016 
ALPPOS,016 
VOICE,016 
COVER/I36,016 
TMPGEO,016 
TEMP,016 
QUBIC/BAS,016 
ISOLATE,016 
XMADLIB,016 
INPROG,016 
FLIPTAG/BAS,016 
CRUSH/JCL,016 
ZAPDTRSD/BAS,016 
STORY,016 
GAMETUCH,016 
STORY2,016 =0  12/14/86  NEWDOS80
STONE,017 
MELTDOWN,017 
SITUATIO,017 
BEEWARY,017 
PWEAPON,017 
PCHAR,017 
TEMPCHAR,017 
WEAPON,017 
START,017 
ROOMS,017 
LEFT,017 
RESET,017 
CONFIGUR,017 
SPYSHIP,017 
VOYAGE,017 
ARRAY,017 
ARMOR,017 
DIRECTRY,017 
PARMOR,017 
ENERGY,017 
SAVEGAME,017 
MONSTER,017 
STONES/JCL,017 =1  11/23/86  NEWDOS80
DAYOF,018 
PENTOMI,018 
HUSTLE,018 
KREMMIN,018 
ENERGY,018 
CETI3/ALN,018 
MINIGOLF,018 
REGLIST,018 
TYPING,018 
SHOOTING,018 
WORDSRCH,018 
ALIEN/BAS,018 
LYRAE/ALN,018 
UFO,018 
DOGFIGHT,018 
REGULUS/ALN,018 
MORSCODE,018 
MATCHES,018 
DIGICLOK,018 
AURIGA/ALN,018 
ROBOT,018 
BANDIT,018 
CETI2/ALN,018 
HUMAN/ALN,018 
SNOOPY,018 
BLOCKADE,018 
PLOT3D,018 
ALIEN/ALN,018 =1  11/23/86  NEWDOS80
ZEUS/TXT,019 
SAVE/CMD,019 
MYCODES/MVN,019 
RESISTOR,019 
GRADES,019 
PAINT,019 
Z80E/ASM,019 
TRSPATCH/BLD,019 
MODEM48/CMD,019 
TEXTFIX/CMD,019 
HEX/CMD,019 
SIN/JCL,019 
MILLEB/CHN,019 
HOST1/CMD,019 
TYPE/CMD,019 
MODEM80/CMD,019 
MODEM80/TXT,019 
CIPHER2,019 
STRIPMOD,019 
SINSTEP/SRC,019 
BUGOUT/CMD,019 
XMODEM/CMD,019 
ZEUS/CMD,019 
SINSTEP/CMD,019 
ZCON/CMD,019 
LDOSIII/FIX,019 
SLOW/CMD,019 
BARCODE1/PRT,019 =2  11/23/86  NEWDOS80
STARTRK1/BAS,020 
BIC/L61,020 
BIC/L63,020 
KWIKLINE/CMD,020 
BIC/L53,020 
POLYGON,020 
SPILOT/CMD,020 
SYSDISK/CMD,020 
LINEFOUR,020 
DRAW/CMD,020 
BIC/L42,020 
BIC/L41,020 
BIC/L44,020 
BIC/L51,020 
BIC/L11,020 
BIC/L43,020 
MENU/BIC,020 
BIC/L21,020 
BIC/L23,020 
BIC/L83,020 
BIC/L52,020 
BIC/L64,020 
BIC/L34,020 
BIC/L32,020 
BIC/L82,020 
BIC/L81,020 
RTICTAC/CMD,020 
BIC/L33,020 
BIC/L31,020 
BIC/L12,020 
BIC/L62,020 
BIC/L71,020 
BIC/L22,020 
BIC/L73,020 
BIC/L72,020 
BIC/L0,020 =0  11/23/86  NEWDOS80
RESCUE,021 
AREA1,021 
FOOTBALL,021 
RAREBIRD,021 
GRAFCAPT,021 
MENU,021 
DATASORT,021 
STRSCOUT/DSK,021 
RYN,021 
PASART,021 
RIGEL,021 
TOWER,021 
NAMEIT/BAS,021 
DATESTON,021 
PAYLOAN,021 
STRSCOUT/JCL,021 
DROSSDOS,021 
FROGS,021 
START,021 
MORLOC,021 
DECISION,021 
SCICALC,021 
CAVERN/CMD,022 
AUTOMENU/TRS,022 
TAC,022 
ELEMMATH,022 
TWANG1/CMD,022 
CCOMP1/BAS,022 
TUNEIN,022 
PDRAW/CMD,022 
ANNULAR,022 
INTRO,022 
FUNCPLOT/BAS,022 
EVASION,022 
HEXCHART,022 
COVER34,022 
PLAY/BAS,022 
WIZARD/BAS,022 
DEMO/DRW,022 
CONVERT,022 
PLAY/CMD,022 
THOL1,022 
PMERGE/CMD,022 
PUZZJUMB,022 
FREEWAY,022 
ROTSCREW/BAS,022 =1  9/5/86  NEWDOS80
TICTAC3D,023 
SHOPPING,023 
EMULATOR,023 
SU99520,023 
HYPZAP/CMD,023 
FIFTEEN/CMD,023 
EIGHTGAM/BAS,023 
UCTOLC,023 
SPLAT,023 
CLASH/CMD,023 
FLOPPY3/CMD,023 
TYPTUT/PI,023 
OBJCSAVE/TAP,023 
SPINBTL,023 
TYPTUT/PII,023 =1  12/14/86  NEWDOS80
PINET,024 
QUESADD/BAS,024 
MAZCHASE/BAS,024 
TVXTRIVI/DA2,024 
SLCOIL,024 
PICK,024 
LNETWORK,024 
TVXTRIVI/DA1,024 
PRESIDEN/DA2,024 
BUTTERWH,024 
STARTREK/DA2,024 
PRESIDEN/DA1,024 
MASTERMI/BAS,024 
LCOUNTER,024 
WATSON/BAS,024 
LOADIMP,024 
MENU,024 
SNAKEEGG,024 
LINE,024 
COMPMATH,024 
INDEX/DAT,024 
MOVIES/DA2,024 
COUNT,024 
SIMON,024 
FFT,024 
GENERAL/DA2,024 
STARTREK/DA1,024 
XFORMER,024 
RLCTIME,024 
CALENDAR,024 
CURVE/FIT,024 
RMS,024 
MOVIES/DA1,024 
GENMATH,024 
WIZARD,024 
GENERAL/DA1,024 
STORY,025 
COMPOUND,025 
NAVIGATE,025 
FOREST,025 
GOMOKU,025 
CONVATOS,025 
START,025 
CONVSTOA,025 
GEOMETRY,025 
ARTSALE,025 
ARITH,025 
BUSINESS,025 
LEAPFROG,025 
SPFLIGHT,025 
ALPHA,025 
PLOT3D,025 
LOSTTREA,025 
MILLEBOR/BAS,025 
MONSTER,025 
HAPPYDAY,025 
TARGET,025 
CONVOY,025 
FISHING,025 
TRAKCESS,026 
ADVEDIT/CMD,026 
HELP/TXT,026 
DRL,026 
ADVENTUR/CMD,026 
ADVEDIT/BAS,026 
XREF/CMD,026 
ZROX2/BAS,026 
WHOISWHO/TXT,026 
PROGRAM,026 
DDD/CMD,026 
HELP/CMD,026 
ZROX2/TXT,026 
LOADING/CMD,026 
ADVENT/D3,026 
ZROX2/CMD,026 
TRAKCESS/CMD,026 =1  11/26/86  NEWDOS80
AIRMAIL,027 
TIMSER/BAS,027 
SANTA/BAS,027 
REMEMBER,027 
PRCEPENY/BAS,027 
LISTER,027 
VDOS/RTN,027 
INITILIZ,027 
SANTAT/BAS,027 
DAYOF,027 
FACTORIA,027 
MX80PCL/BAS,027 
CHSETITL,027 
MOUNTAIN,027 
JBLOCK,027 
FILES/VIR,027 
FILES/CMD,027 
BASICEPT/TXT,027 
FILE/V0,027 
DBLSIN,027 
INTRO/BAS,027 
TIMSER2,027 
AIRRAID,027 
WORDSRCH/BAS,027 
JBLOCK32,027 =2  12/14/86  NEWDOS80
BACKGAMM/BAS,028 
SARGON/CMD,028 
POKEPETE,028 
GINRUMMY,028 
CKRS80/CMD,028 
OTHELLO2,028 
LOWBALL,028 
FASTGAMM/CMD,028 
POKER/BAS,028 
SFINKS/CMD,028 
OTHELLO1,028 
CHECKER2,028 
GAMBIT80/CMD,028 
CHESSTTR,028 
CHECKER1,028 
FZBASIC/CMD,029 
DIGOUT/CMD,029 
COSMIC/CMD,029 
SERIES1/CMD,029 
JIGSAW/CMD,029 
PAINTER/CMD,029 
MPATROL/CMD,029 
STRIKE/CMD,029 
REAR/CMD,029 
